league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
LALIGA,0.15,0.15,25%,78,-0.14689159267638152,783.8219716378914,0.27381496415369244,0.38461538461538464
LALIGA,0.15,0.15,30%,95,-0.14108653605512972,735.5702332827389,0.3278265042231133,0.37894736842105264
LALIGA,0.15,0.15,35%,97,-0.12478724023835096,752.6804002508514,0.3130407043476154,0.38144329896907214
LALIGA,0.15,0.15,40%,98,-0.13485415197259365,730.3600419580728,0.33341213637428424,0.37755102040816324
LALIGA,0.15,0.2,sin techo,98,-0.13977145623719894,647.7258657604528,0.42791781187634215,0.37755102040816324
LALIGA,0.15,0.2,20%,49,0.02121589124800011,1027.0255461036934,0.24378295314492454,0.4489795918367347
LALIGA,0.15,0.2,25%,78,-0.14976707282216759,721.6066378136921,0.34566732766578134,0.38461538461538464
LALIGA,0.15,0.2,30%,95,-0.1446600221775409,658.4639691437916,0.41347663673787644,0.37894736842105264
LALIGA,0.15,0.2,35%,97,-0.1301815920008749,674.3908262883702,0.40436687810726596,0.38144329896907214
LALIGA,0.15,0.2,40%,98,-0.13977145623719894,647.7258657604528,0.42791781187634215,0.37755102040816324
LALIGA,0.15,0.25,sin techo,98,-0.14916306940128957,569.2645181357431,0.5085030639310605,0.37755102040816324
LALIGA,0.15,0.25,20%,49,0.016307047082172944,1025.6590651174008,0.2943621804078525,0.4489795918367347
LALIGA,0.15,0.25,25%,78,-0.15049360733496822,668.5361222870443,0.40749745885360483,0.38461538461538464
LALIGA,0.15,0.25,30%,95,-0.1506329593557186,589.5857557135101,0.48289790140931466,0.37894736842105264
LALIGA,0.15,0.25,35%,97,-0.13984781615561104,598.8628099700481,0.4829482132667753,0.38144329896907214
LALIGA,0.15,0.25,40%,98,-0.14916306940128957,569.2645181357431,0.5085030639310605,0.37755102040816324
SERIEA,0.06,0.05,sin techo,320,-0.06106274105071634,898.1739249884625,0.2110786076166438,0.440625
SERIEA,0.06,0.05,20%,294,-0.07072463479288084,901.01091193197,0.18702196913303004,0.4421768707482993
SERIEA,0.06,0.05,25%,310,-0.04849156750855701,923.4674252325646,0.18556971965978006,0.44516129032258067
SERIEA,0.06,0.05,30%,316,-0.05405744562986984,910.8192992892834,0.21107860761664327,0.4430379746835443
