tour,min_edge_threshold,kelly_fraction,max_odds,n_bets,roi,final_bankroll,max_drawdown,win_rate
WTA,0.05,0.15,6.0,106,0.06523670544763986,1064.8713507724788,0.12788607171434355,0.4528301886792453
WTA,0.05,0.2,2.5,56,0.1626003278993918,1175.6310181879078,0.10112546641833298,0.6607142857142857
WTA,0.05,0.2,3.0,70,0.09988793422185983,1116.4201174723007,0.134065635826987,0.5714285714285714
WTA,0.05,0.2,4.0,92,0.07326376555649752,1092.680939204485,0.14280225183265816,0.5
WTA,0.05,0.2,6.0,106,0.06366344414081061,1084.688384483937,0.16741345895495965,0.4528301886792453
WTA,0.05,0.25,2.5,56,0.1605881786570884,1218.5439683882862,0.12228597494988999,0.6607142857142857
WTA,0.05,0.25,3.0,70,0.0976882998032908,1141.960016807739,0.16538207223931087,0.5714285714285714
WTA,0.05,0.25,4.0,92,0.07101803012632546,1111.3907347586617,0.17593340118257722,0.5
WTA,0.05,0.25,6.0,106,0.06123039219553861,1100.9942499658234,0.20545806207200532,0.4528301886792453
WTA,0.06,0.05,2.5,32,0.21484962702731553,1035.3030674429347,0.023162529819278715,0.6875
WTA,0.06,0.05,3.0,40,0.1736608699936967,1032.3729903322508,0.024568047608079176,0.625
WTA,0.06,0.05,4.0,53,0.1262284429258736,1026.1248037305568,0.02746101548228519,0.5283018867924528
WTA,0.06,0.05,6.0,63,0.1256507436752583,1027.7576204196664,0.02897740660076027,0.47619047619047616
WTA,0.06,0.1,2.5,32,0.21122695847093198,1071.1208847076543,0.04599957345318672,0.6875
WTA,0.06,0.1,3.0,40,0.17119215408536242,1064.9507804817688,0.04867677289033189,0.625
WTA,0.06,0.1,4.0,53,0.1244746986095482,1052.0179910635948,0.05431970375242999,0.5283018867924528
WTA,0.06,0.1,6.0,63,0.12367063921160242,1055.2760197697853,0.05726872939556696,0.47619047619047616
WTA,0.06,0.15,2.5,32,0.2076226330759436,1107.4193576863906,0.06851214232018832,0.6875
