Date,bet_side,bet_odds,red_flag,won,market
2022-02-05,home,2.0,True,True,LALIGA
2022-02-06,away,2.59,False,False,LALIGA
2022-02-12,away,2.74,False,False,LALIGA
2022-02-13,away,1.76,False,False,LALIGA
2022-02-19,away,2.11,True,True,LALIGA
2022-02-20,away,2.25,True,False,LALIGA
2022-02-20,away,2.01,True,True,LALIGA
2022-02-26,away,1.67,False,True,LALIGA
2022-02-27,home,2.29,False,True,LALIGA
2022-03-02,away,2.3,True,True,LALIGA
2022-03-06,home,2.93,False,True,LALIGA
2022-03-06,away,2.44,False,True,LALIGA
2022-03-12,home,2.36,False,False,LALIGA
2022-03-13,away,2.37,True,False,LALIGA
2022-03-19,away,2.86,False,True,LALIGA
2022-04-02,away,1.99,False,False,LALIGA
2022-04-03,home,2.71,False,False,LALIGA
2022-04-04,home,1.58,False,True,LALIGA
2022-04-09,away,1.96,True,False,LALIGA
2022-04-10,away,2.77,False,False,LALIGA
2022-04-10,away,2.05,False,True,LALIGA
2022-04-15,home,2.17,False,False,LALIGA
2022-04-16,home,2.77,False,True,LALIGA
2022-04-16,home,2.78,False,True,LALIGA
2022-04-16,away,2.56,False,True,LALIGA
2022-04-17,home,1.44,False,True,LALIGA
2022-04-24,home,1.33,False,False,LALIGA
2022-04-29,home,1.65,False,False,LALIGA
2022-04-30,away,2.21,False,False,LALIGA
2022-04-30,home,1.51,False,True,LALIGA
2022-04-30,home,2.33,False,False,LALIGA
2022-04-30,away,2.64,False,False,LALIGA
2022-05-01,home,1.32,False,True,LALIGA
2022-05-07,away,2.24,False,True,LALIGA
2022-05-11,home,2.79,False,False,LALIGA
2022-05-11,home,1.63,False,False,LALIGA
2022-05-11,away,1.71,False,True,LALIGA
2022-05-12,home,1.7,False,True,LALIGA
2022-05-15,home,2.36,False,False,LALIGA
2022-05-15,away,2.26,True,False,LALIGA
2022-05-15,away,2.22,True,False,LALIGA
2022-05-21,home,2.79,False,True,LALIGA
2022-05-22,home,2.17,True,False,LALIGA
2022-05-22,home,2.59,False,True,LALIGA
2022-05-22,away,2.8,False,True,LALIGA
2022-08-20,away,2.44,False,True,LALIGA
2022-08-22,home,2.6,False,False,LALIGA
2022-08-22,home,2.85,False,True,LALIGA
2022-09-09,home,2.3,False,True,LALIGA
2022-09-18,home,1.78,False,True,LALIGA
2022-10-09,away,2.51,False,False,LALIGA
2022-10-16,home,2.32,False,True,LALIGA
2022-10-18,home,2.34,False,False,LALIGA
2022-10-29,home,2.02,True,False,LALIGA
2022-11-09,home,2.66,False,False,LALIGA
2022-11-09,away,2.44,False,True,LALIGA
2022-11-09,away,2.19,True,False,LALIGA
2022-12-29,home,2.95,False,False,LALIGA
2022-12-30,home,2.91,False,True,LALIGA
2022-12-31,home,2.02,True,True,LALIGA
2023-01-21,away,2.8,False,False,LALIGA
2023-01-22,home,1.76,False,True,LALIGA
2023-01-22,away,2.48,False,True,LALIGA
2023-01-28,home,2.98,False,True,LALIGA
2023-01-29,away,2.2,False,True,LALIGA
2023-02-04,home,2.23,False,False,LALIGA
2023-02-05,away,1.78,False,False,LALIGA
2023-02-11,away,2.52,False,True,LALIGA
2023-02-11,home,1.99,False,True,LALIGA
2023-02-18,away,2.5,True,False,LALIGA
2023-02-18,away,1.85,False,True,LALIGA
2023-02-19,home,2.97,False,False,LALIGA
2023-02-25,home,2.63,False,True,LALIGA
2023-02-26,home,1.88,False,False,LALIGA
2023-03-04,home,2.84,False,True,LALIGA
2023-03-11,home,2.72,False,False,LALIGA
2023-03-12,away,2.42,False,False,LALIGA
2023-03-12,home,1.77,False,True,LALIGA
2023-03-12,home,2.01,False,False,LALIGA
2023-03-13,away,2.14,False,True,LALIGA
2023-03-19,home,1.89,True,True,LALIGA
2023-03-19,away,2.46,False,True,LALIGA
2023-04-01,away,2.41,False,True,LALIGA
2023-04-02,home,2.46,False,True,LALIGA
2023-04-09,home,2.66,False,False,LALIGA
2023-04-25,home,2.88,False,False,LALIGA
2023-04-30,home,1.83,False,True,LALIGA
2023-05-01,home,2.01,False,False,LALIGA
2023-05-02,away,2.95,False,False,LALIGA
2023-05-03,away,2.64,False,False,LALIGA
2023-05-13,home,2.17,False,True,LALIGA
2023-05-20,away,2.38,False,True,LALIGA
2023-05-21,away,2.22,True,False,LALIGA
2023-05-21,home,2.37,False,False,LALIGA
2023-05-23,away,2.0,True,False,LALIGA
2023-05-24,home,1.65,False,True,LALIGA
2023-05-24,away,2.35,False,False,LALIGA
2023-06-04,home,1.93,False,False,LALIGA
2023-06-04,away,2.57,False,False,LALIGA
2023-06-04,home,2.72,False,False,LALIGA
2023-06-04,home,2.82,False,False,LALIGA
2023-08-11,home,2.62,False,False,LALIGA
2023-08-18,away,2.68,False,True,LALIGA
2023-08-20,home,2.06,False,True,LALIGA
2023-08-26,home,2.71,False,True,LALIGA
2023-09-02,away,2.82,False,False,LALIGA
2023-09-18,away,2.65,False,True,LALIGA
2023-09-23,home,1.94,False,True,LALIGA
2023-09-24,away,2.83,False,False,LALIGA
2023-09-24,home,1.86,False,False,LALIGA
2023-09-24,home,2.88,False,True,LALIGA
2023-09-27,home,2.22,True,False,LALIGA
2023-10-01,home,2.31,False,True,LALIGA
2023-10-08,away,2.68,False,False,LALIGA
2023-10-22,home,2.71,False,False,LALIGA
2023-10-28,home,2.55,False,False,LALIGA
2023-10-29,home,2.1,False,True,LALIGA
2023-11-04,home,1.93,False,True,LALIGA
2023-11-11,home,2.58,False,False,LALIGA
2023-11-26,home,2.17,True,True,LALIGA
2023-12-01,home,2.49,False,True,LALIGA
2023-12-16,away,2.94,False,False,LALIGA
2023-12-17,home,2.66,False,False,LALIGA
2023-12-20,home,2.42,True,True,LALIGA
2024-01-03,away,2.71,False,False,LALIGA
2024-01-12,home,1.95,True,False,LALIGA
2024-01-20,home,2.1,True,False,LALIGA
2024-01-26,home,2.64,True,False,LALIGA
2024-02-03,away,1.87,False,True,LALIGA
2024-02-09,away,2.7,False,True,LALIGA
2024-02-10,home,2.84,False,True,LALIGA
2024-02-16,home,2.02,True,False,LALIGA
2024-02-18,away,2.6,False,True,LALIGA
2024-02-18,home,2.15,True,False,LALIGA
2024-03-03,away,2.43,False,False,LALIGA
2024-03-04,home,2.44,False,True,LALIGA
2024-03-17,home,2.13,True,True,LALIGA
2024-03-31,away,2.44,False,True,LALIGA
2024-04-12,home,2.12,False,True,LALIGA
2024-04-13,home,1.97,False,True,LALIGA
2024-04-21,away,1.99,False,False,LALIGA
2024-04-27,home,2.69,False,False,LALIGA
2024-04-27,away,2.95,False,False,LALIGA
2024-04-27,home,1.97,True,True,LALIGA
2024-04-28,home,2.64,False,True,LALIGA
2024-05-04,away,2.43,False,False,LALIGA
2024-05-05,away,2.84,False,False,LALIGA
2024-05-05,home,2.15,False,False,LALIGA
2024-05-14,home,2.88,False,False,LALIGA
2024-08-26,home,1.94,False,True,LALIGA
2024-08-29,home,1.76,False,True,LALIGA
2024-08-31,home,2.8,False,True,LALIGA
2024-09-01,away,2.8,False,True,LALIGA
2024-09-14,home,2.75,False,True,LALIGA
2024-09-25,home,1.76,False,False,LALIGA
2024-09-28,home,2.66,False,True,LALIGA
2024-10-06,home,2.44,False,True,LALIGA
2024-10-19,home,2.57,False,False,LALIGA
2024-11-02,home,1.71,False,True,LALIGA
2024-11-23,home,2.98,False,True,LALIGA
2024-11-24,home,2.32,False,True,LALIGA
2024-12-01,away,2.68,False,True,LALIGA
2024-12-14,home,2.88,False,False,LALIGA
2024-12-18,home,1.85,False,False,LALIGA
2024-12-22,home,2.32,False,False,LALIGA
2025-01-18,home,1.94,False,False,LALIGA
2025-01-19,away,2.67,False,True,LALIGA
2025-01-26,away,2.88,False,False,LALIGA
2025-02-03,home,1.63,False,True,LALIGA
2025-02-14,home,1.99,False,False,LALIGA
2025-02-23,away,2.98,False,True,LALIGA
2025-03-10,away,2.45,False,False,LALIGA
2025-03-14,home,2.92,False,False,LALIGA
2025-03-15,home,1.98,True,False,LALIGA
2025-03-16,home,3.0,False,False,LALIGA
2025-04-18,home,2.88,False,True,LALIGA
2025-04-20,home,1.68,False,True,LALIGA
2025-04-23,away,1.79,False,True,LALIGA
2025-05-03,away,2.16,False,False,LALIGA
2025-05-05,home,2.04,True,True,LALIGA
2025-05-11,home,2.45,False,True,LALIGA
2025-05-13,home,2.39,False,False,LALIGA
2025-05-18,home,1.94,False,True,LALIGA
2025-05-18,home,1.87,False,False,LALIGA
2025-08-15,home,2.3,False,False,LALIGA
2025-08-30,home,2.49,False,False,LALIGA
2025-09-20,home,1.91,False,False,LALIGA
2025-09-20,away,2.55,False,False,LALIGA
2025-09-26,home,2.53,False,False,LALIGA
2025-10-04,home,2.56,False,False,LALIGA
2025-10-04,home,2.52,False,True,LALIGA
2025-10-05,home,2.42,False,True,LALIGA
2025-10-19,home,2.84,False,False,LALIGA
2025-11-07,away,2.77,False,False,LALIGA
