market,predicted_prob,market_prob,odds,actual
EPL,0.4370712845142171,0.4685602896129212,2.07,1
EPL,0.2602380759848185,0.2592035644667224,3.68,0
EPL,0.3026906395009643,0.2722361459203564,3.75,0
EPL,0.2529222709070723,0.1985517714937978,4.85,1
EPL,0.2672763212148135,0.2676369084245165,3.58,0
EPL,0.479801407878114,0.5338113200816859,1.85,0
EPL,0.4142269541293299,0.4047796891362853,2.4,1
EPL,0.2754307999377345,0.2795183526700423,3.38,0
EPL,0.3103422459329354,0.3157019581936724,3.22,0
EPL,0.3326328767141455,0.3682286832304356,2.48,0
EPL,0.2862524673672833,0.3021071240125865,3.25,1
EPL,0.3811146559185711,0.3296641927569778,3.22,0
EPL,0.129446960804769,0.1054146237476017,8.08,0
EPL,0.2078589473327263,0.1887657215945427,4.72,0
EPL,0.6626940918625047,0.7058196546578555,1.45,1
EPL,0.0497723491844211,0.0647754854368932,14.88,0
EPL,0.101669752853003,0.1388046116504854,7.43,0
EPL,0.8485578979625759,0.7964199029126214,1.21,1
EPL,0.634124449680142,0.5334535167022159,1.98,0
EPL,0.2039679829714712,0.2689311117259105,3.63,1
EPL,0.1619075673483868,0.1976153715718735,4.13,0
EPL,0.6607936673381998,0.6338177890057111,1.59,1
EPL,0.1976703966509029,0.2173896202825824,4.13,0
EPL,0.1415359360108972,0.1487925907117065,6.46,0
EPL,0.7195881761746149,0.6602587977593971,1.43,1
EPL,0.1697501787225927,0.2166702928345693,4.9,0
EPL,0.1106616451027924,0.1230709094060337,8.28,0
EPL,0.3755146428425721,0.4066938261045714,2.38,1
EPL,0.264796598509864,0.2853991762137343,3.49,0
EPL,0.3596887586475638,0.3079069976816944,3.17,0
EPL,0.2735138117516579,0.2928049634744321,3.45,1
EPL,0.2831694895759626,0.2850995696987891,3.65,0
EPL,0.4433166986723794,0.4220954668267787,2.18,0
EPL,0.3915893240358388,0.3710653683764888,2.32,1
EPL,0.2349677622267438,0.282870121400048,3.33,0
EPL,0.3734429137374173,0.346064510223463,3.44,0
EPL,0.7985679274438646,0.8362293657688966,1.17,1
EPL,0.1386971524843427,0.1175789168838691,8.21,0
EPL,0.0627349200717925,0.0461917173472342,20.21,0
EPL,0.5807599988812074,0.5572656406156307,1.68,1
EPL,0.2275972322671686,0.2378572856286228,4.01,0
EPL,0.191642768851624,0.2048770737557465,5.61,0
