market,predicted_prob,odds,actual
EPL,0.5038342442946505,1.65,0
EPL,0.2323577909595632,4.28,0
EPL,0.2638079647457862,5.13,1
EPL,0.196478084794638,4.75,0
EPL,0.276459476528286,3.79,1
EPL,0.527062438677076,1.78,0
EPL,0.3110870590081308,3.12,0
EPL,0.250491138342869,3.41,0
EPL,0.4384218026490001,2.38,1
EPL,0.1410320500086672,4.68,0
EPL,0.181057086750862,3.46,0
EPL,0.6779108632404708,1.88,1
EPL,0.4434439843204624,2.09,0
EPL,0.231792604047559,3.53,0
EPL,0.3247634116319785,3.66,1
EPL,0.3387857931504938,2.82,0
EPL,0.2721627910603763,3.25,0
EPL,0.3890514157891299,2.7,1
EPL,0.3399509750350437,3.15,0
EPL,0.2776017381895266,3.11,0
EPL,0.3824472867754296,2.54,1
EPL,0.5248202674688591,2.03,0
EPL,0.2318057744842689,3.72,0
EPL,0.2433739580468718,3.67,1
EPL,0.4500983769698286,1.93,1
EPL,0.2539719201053574,3.85,0
EPL,0.295929702924814,3.9,0
EPL,0.0783924961853643,10.23,0
EPL,0.145144043700301,6.18,1
EPL,0.7764634601143345,1.27,0
EPL,0.6769407739245304,1.36,0
EPL,0.2081615271560937,5.22,1
EPL,0.1148976989193758,9.18,0
EPL,0.1437582760730512,5.75,0
EPL,0.2052856511034206,4.14,0
EPL,0.6509560728235281,1.61,1
EPL,0.4198446848459495,2.66,0
EPL,0.2737369127076116,3.36,1
EPL,0.3064184024464388,2.78,0
EPL,0.4692732763226795,1.7,1
EPL,0.2567036697253693,4.17,0
EPL,0.2740230539519512,4.82,0
EPL,0.4403926311552212,2.19,0
EPL,0.2662796428288955,3.27,1
EPL,0.2933277260158833,3.69,0
EPL,0.3443515002489909,2.57,1
EPL,0.2737079483094541,3.42,0
EPL,0.3819405514415548,2.94,0
EPL,0.6880224041242006,1.54,1
EPL,0.1829202732110413,4.42,0
EPL,0.129057322664758,6.7,0
EPL,0.1412863445500185,6.09,0
EPL,0.2182660568480019,4.13,1
EPL,0.6404475986019794,1.62,0
EPL,0.8934974370457435,1.12,1
EPL,0.0745356048777269,10.16,0
EPL,0.0319669580765295,25.77,0
EPL,0.2961079050435922,3.66,0
EPL,0.2565770659032561,3.38,1
EPL,0.4473150290531517,2.21,0
EPL,0.6480931727783352,1.61,0
EPL,0.2009109907561822,4.19,0
EPL,0.1509958364654825,6.03,1
EPL,0.4433577692035428,1.83,0
EPL,0.2548890040477861,4.0,1
EPL,0.3017532267486711,4.4,0
EPL,0.6479841777247574,1.26,1
EPL,0.173718026363127,6.84,0
EPL,0.1782977959121155,11.21,0
EPL,0.20516225234729,3.72,0
EPL,0.2736733630432839,3.28,0
EPL,0.521164384609426,2.23,1
EPL,0.6563320373008372,1.63,0
EPL,0.193035653725994,4.32,1
EPL,0.1506323089731688,5.53,0
EPL,0.3079673902408649,2.77,0
EPL,0.2545305080148948,3.08,1
EPL,0.4375021017442402,2.98,0
EPL,0.3351152932207539,2.37,1
EPL,0.2605226822838504,3.58,0
EPL,0.4043620244953957,3.12,0
EPL,0.227428315299763,3.85,0
EPL,0.2513737307185205,3.38,0
EPL,0.5211979539817164,2.14,1
EPL,0.0433471387283278,18.96,0
EPL,0.0951409688485755,7.94,0
EPL,0.8615118924230966,1.18,1
EPL,0.0992707854384521,10.82,0
EPL,0.1697746471708352,6.03,0
EPL,0.7309545673907126,1.29,1
EPL,0.3049353746267695,2.78,1
EPL,0.2647493049243781,3.48,0
EPL,0.4303153204488523,2.67,0
EPL,0.5922563730097989,1.69,0
EPL,0.2406045370240331,3.82,0
EPL,0.167139089966168,5.86,1
EPL,0.3450571886769172,3.05,0
EPL,0.2519857780887896,3.62,1
EPL,0.402957033234293,2.39,0
EPL,0.5416083835873347,1.81,1
EPL,0.2590876287522613,3.78,0
EPL,0.199303987660404,4.87,0
EPL,0.5804872078825818,1.72,0
EPL,0.2235702653972853,3.88,1
EPL,0.1959425267201328,5.4,0
EPL,0.7005032152460968,1.47,1
EPL,0.1881828383549528,4.46,0
EPL,0.1113139463989503,8.32,0
EPL,0.6463866863470966,1.68,0
EPL,0.202128628190857,3.95,0
EPL,0.1514846854620464,5.62,1
EPL,0.5111404526368888,1.67,0
EPL,0.293664995138152,3.78,0
EPL,0.1951945522249592,6.18,1
EPL,0.1520425603195677,5.86,0
EPL,0.2365708460347752,3.99,0
EPL,0.6113865936456571,1.66,1
EPL,0.8426497997507563,1.13,1
EPL,0.1031507195338754,9.98,0
EPL,0.0541994807153683,26.49,0
EPL,0.3893758672773488,2.1,1
EPL,0.2566577757853486,3.61,0
EPL,0.3539663569373025,3.71,0
EPL,0.6689737263044303,1.29,0
EPL,0.1829512980138501,6.05,0
EPL,0.1480749756817196,11.91,1
EPL,0.2350250658514242,4.12,0
